,Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Source,Mod_lat,Mod_long,lat_noise,long_noise
70,MAERSK KIMI,9162227,244132000,23° 14.077' N,059° 28.637' E,16/06/2019 21:11:34 +00:00,NW,318,17.5,T-AIS,23.234616666666668,59.47728333333333,23.236538373172657,59.47350224884151
71,MAERSK KIMI,9162227,244132000,23° 15.372' N,059° 27.422' E,16/06/2019 21:17:20 +00:00,NW,319,17.6,T-AIS,23.2562,59.457033333333335,23.25190664525765,59.44833652229227
72,MAERSK KIMI,9162227,244132000,23° 17.398' N,059° 25.534' E,16/06/2019 21:26:25 +00:00,NW,319,17.6,T-AIS,23.28996666666667,59.42556666666667,23.288678683062095,59.425970234269386
73,MAERSK KIMI,9162227,244132000,23° 18.627' N,059° 24.387' E,16/06/2019 21:31:55 +00:00,NW,320,17.6,T-AIS,23.31045,59.40645,23.31293218306216,59.40533343971227
74,MAERSK KIMI,9162227,244132000,23° 19.753' N,059° 23.341' E,16/06/2019 21:36:58 +00:00,NW,319,17.6,T-AIS,23.329216666666667,59.38901666666667,23.324565643678284,59.38492555754729
75,MAERSK KIMI,9162227,244132000,23° 20.979' N,059° 22.199' E,16/06/2019 21:42:25 +00:00,NW,319,17.6,T-AIS,23.34965,59.36998333333333,23.348405698000953,59.371038846297104
76,MAERSK KIMI,9162227,244132000,23° 22.172' N,059° 21.059' E,16/06/2019 21:47:50 +00:00,NW,319,17.5,T-AIS,23.369533333333333,59.35098333333333,23.370892241262727,59.35470064349053
77,MAERSK KIMI,9162227,244132000,23° 23.360' N,059° 19.929' E,16/06/2019 21:53:13 +00:00,NW,320,17.5,T-AIS,23.389333333333333,59.33215,23.393725941451752,59.33212213753918
78,MAERSK KIMI,9162227,244132000,23° 25.016' N,059° 18.362' E,16/06/2019 22:00:43 +00:00,NW,318,17.5,T-AIS,23.416933333333333,59.30603333333333,23.414001313990376,59.30467562747703
79,MAERSK KIMI,9162227,244132000,23° 28.428' N,059° 15.166' E,16/06/2019 22:16:07 +00:00,NW,319,17.4,T-AIS,23.4738,59.252766666666666,23.47272818490066,59.25360137754565
80,MAERSK KIMI,9162227,244132000,23° 29.602' N,059° 14.075' E,16/06/2019 22:21:26 +00:00,NW,319,17.4,T-AIS,23.493366666666667,59.23458333333333,23.49947144442234,59.23816147748843
81,MAERSK KIMI,9162227,244132000,23° 30.770' N,059° 12.981' E,16/06/2019 22:26:44 +00:00,NW,318,17.3,T-AIS,23.512833333333333,59.21635,23.5126515525756,59.20772383352423
82,MAERSK KIMI,9162227,244132000,23° 32.146' N,059° 11.704' E,16/06/2019 22:32:55 +00:00,NW,317,17.4,T-AIS,23.535766666666667,59.19506666666667,23.53253294648617,59.200021716332536
83,MAERSK KIMI,9162227,244132000,23° 33.298' N,059° 10.614' E,16/06/2019 22:38:08 +00:00,NW,319,17.7,T-AIS,23.554966666666665,59.1769,23.55177002275423,59.18098852240113
84,MAERSK KIMI,9162227,244132000,23° 34.479' N,059° 09.443' E,16/06/2019 22:43:32 +00:00,NW,316,17.7,T-AIS,23.57465,59.157383333333335,23.573116236478175,59.1567170975007
85,MAERSK KIMI,9162227,244132000,23° 35.587' N,059° 08.326' E,16/06/2019 22:48:38 +00:00,NW,316,17.7,T-AIS,23.593116666666667,59.13876666666667,23.59458538111968,59.139421516743035
86,MAERSK KIMI,9162227,244132000,23° 36.836' N,059° 07.059' E,16/06/2019 22:54:26 +00:00,NW,317,17.5,T-AIS,23.613933333333332,59.11765,23.61158441789051,59.11343374333673
87,MAERSK KIMI,9162227,244132000,23° 39.423' N,059° 04.543' E,16/06/2019 23:06:19 +00:00,NW,318,17.4,T-AIS,23.65705,59.075716666666665,23.661324349895004,59.07391289651595
88,MAERSK KIMI,9162227,244132000,23° 40.690' N,059° 03.332' E,16/06/2019 23:12:07 +00:00,NW,318,17.4,T-AIS,23.678166666666666,59.05553333333334,23.677731221011367,59.050629461833516
89,MAERSK KIMI,9162227,244132000,23° 41.857' N,059° 02.233' E,16/06/2019 23:17:26 +00:00,NW,319,17.4,T-AIS,23.697616666666665,59.037216666666666,23.69795878158712,59.04089579005324
90,MAERSK KIMI,9162227,244132000,23° 44.453' N,058° 59.809' E,16/06/2019 23:29:14 +00:00,NW,319,17.1,T-AIS,23.740883333333333,58.99681666666667,23.737322986670566,59.00240772824352
91,MAERSK KIMI,9162227,244132000,23° 45.716' N,058° 58.639' E,16/06/2019 23:35:02 +00:00,NW,320,17.0,T-AIS,23.76193333333333,58.97731666666667,23.766493756489297,58.983906872750296
92,MAERSK KIMI,9162227,244132000,23° 47.012' N,058° 57.446' E,16/06/2019 23:41:02 +00:00,NW,321,16.9,T-AIS,23.783533333333335,58.957433333333334,23.787856336359965,58.95681353458047
93,MAERSK KIMI,9162227,244132000,23° 48.311' N,058° 56.265' E,16/06/2019 23:47:02 +00:00,NW,319,17.0,T-AIS,23.805183333333332,58.93775,23.814490128673274,58.93005333679012
94,MAERSK KIMI,9162227,244132000,23° 49.617' N,058° 55.077' E,16/06/2019 23:53:02 +00:00,NW,320,17.0,T-AIS,23.82695,58.91795,23.839798456189293,58.91710383167133
95,MAERSK KIMI,9162227,244132000,23° 50.977' N,058° 53.854' E,16/06/2019 23:59:13 +00:00,NW,320,17.1,T-AIS,23.849616666666666,58.89756666666667,23.852463453090895,58.90400632610629
96,MAERSK KIMI,9162227,244132000,23° 53.194' N,058° 51.881' E,17/06/2019 00:09:21 +00:00,NW,320,16.8,T-AIS,23.886566666666667,58.86468333333333,23.89083762384793,58.86130108646507
97,MAERSK KIMI,9162227,244132000,23° 54.435' N,058° 50.677' E,17/06/2019 00:15:14 +00:00,NW,317,16.8,T-AIS,23.90725,58.84461666666667,23.9036283852374,58.845656882865036
98,MAERSK KIMI,9162227,244132000,23° 55.560' N,058° 49.565' E,17/06/2019 00:20:38 +00:00,NW,318,16.8,T-AIS,23.926,58.82608333333334,23.92777356304212,58.82778337275191
99,MAERSK KIMI,9162227,244132000,23° 56.517' N,058° 48.615' E,17/06/2019 00:25:12 +00:00,NW,317,17.0,S-AIS,23.94195,58.81025,23.941913899803094,58.805637255609184
100,MAERSK KIMI,9162227,244132000,23° 56.872' N,058° 48.260' E,17/06/2019 00:26:56 +00:00,NW,318,17.0,T-AIS,23.947866666666666,58.80433333333333,23.943850880904446,58.80565520920556
101,MAERSK KIMI,9162227,244132000,23° 58.070' N,058° 47.064' E,17/06/2019 00:32:38 +00:00,NW,317,17.0,T-AIS,23.967833333333335,58.7844,23.9630115638191,58.7829990756188
102,MAERSK KIMI,9162227,244132000,23° 59.213' N,058° 45.920' E,17/06/2019 00:38:07 +00:00,NW,316,16.9,T-AIS,23.986883333333335,58.76533333333333,23.986382141941334,58.7699549093542
103,MAERSK KIMI,9162227,244132000,24° 00.315' N,058° 44.773' E,17/06/2019 00:43:32 +00:00,NW,312,16.8,T-AIS,24.00525,58.74621666666667,24.003763822596262,58.75258135912087
104,MAERSK KIMI,9162227,244132000,24° 01.478' N,058° 43.464' E,17/06/2019 00:49:26 +00:00,NW,314,16.9,T-AIS,24.024633333333334,58.7244,24.034173259757736,58.72115782436836
105,MAERSK KIMI,9162227,244132000,24° 02.565' N,058° 42.209' E,17/06/2019 00:55:02 +00:00,NW,314,17.0,T-AIS,24.04275,58.70348333333333,24.04339439610633,58.697037724859015
106,MAERSK KIMI,9162227,244132000,24° 03.496' N,058° 40.982' E,17/06/2019 01:00:14 +00:00,NW,307,17.0,T-AIS,24.05826666666667,58.683033333333334,24.051958574593872,58.682802474295556
107,MAERSK KIMI,9162227,244132000,24° 04.448' N,058° 39.658' E,17/06/2019 01:05:38 +00:00,NW,307,17.0,T-AIS,24.074133333333332,58.66096666666667,24.07190976017066,58.66940713845397
108,MAERSK KIMI,9162227,244132000,24° 05.362' N,058° 38.397' E,17/06/2019 01:10:50 +00:00,NW,308,16.9,T-AIS,24.089366666666667,58.63995,24.095974274488828,58.64531504993998
